INGRESO_BIN,CALIF_FINAL,EDAD,N_INTENTOS,TIEMPO_DESDE_EGRESO,CALIF_PROMEDIO_HIST,HA_INGRESADO_ANTES,PUNTAJE_MINEDU,ES_MIGRANTE,NIVEL_DIFICULTAD,COLEGIO_TIPO_GESTION,EGRESADO_RECIENTE_BIN,FACULTAD_COD,SEXO_COD,ANIO_POSTULA,ASISTENCIA,PARCIAL_1,PARCIAL_2
0,6.792,19.0,1,2,0.0,0,4.2,1,3,0,0,11,1,2024,0.93,13.1,12.3
0,5.81,20.0,2,3,6.792000000000001,0,4.2,1,3,0,0,11,1,2025,0.91,8.1,6.2
0,1.389,17.0,1,1,0.0,0,6.4,0,3,0,1,11,1,2019,0.78,7.4,8.2
1,7.877,17.0,1,1,0.0,0,6.4,0,2,0,1,7,1,2019,0.95,10.8,10.9
0,0.181,19.0,1,3,0.0,0,6.4,0,3,0,0,11,0,2021,0.9,11.7,11.9
1,12.045,18.0,1,2,0.0,0,7.1,0,2,0,0,7,0,2024,0.95,13.6,14.0
0,1.527,18.0,1,1,0.0,0,6.4,0,3,1,1,11,1,2019,0.75,8.1,6.3
0,7.169,17.0,1,1,0.0,0,6.900994407311418,1,3,0,1,11,1,2016,0.64,10.7,10.6
0,2.578,19.0,1,2,0.0,0,7.1,0,3,0,0,11,1,2024,0.93,9.6,9.9
0,2.27,17.0,1,1,0.0,0,6.900994407311418,1,3,0,1,11,1,2018,0.5,11.8,11.8
0,8.972,19.0,1,3,0.0,0,4.8,1,3,0,0,11,1,2018,0.73,7.6,7.6
1,15.229,19.0,2,3,8.972000000000001,0,4.8,1,5,0,0,1,1,2018,0.97,19.2,20.0
0,2.261,19.0,1,3,0.0,0,6.85,0,3,0,0,11,1,2024,0.64,8.4,8.9
0,9.795,20.0,1,4,0.0,0,3.7,0,3,0,0,11,1,2024,0.96,5.7,6.4
1,10.062,20.0,2,4,9.795,0,3.7,0,3,0,0,11,1,2024,0.92,16.0,15.8
1,15.502,21.0,3,5,9.9285,1,3.7,0,5,0,0,6,1,2025,0.95,19.4,16.9
0,5.221,17.0,1,1,0.0,0,6.85,0,3,0,1,11,1,2022,0.83,9.4,9.1
1,13.751,17.0,2,1,5.221000000000002,0,6.85,0,4,0,1,3,1,2022,0.98,15.8,15.7
0,0.625,16.0,1,1,0.0,0,4.5,0,3,0,1,11,1,2022,0.51,5.9,5.7
0,0.0,19.0,1,3,0.0,0,6.4,0,3,0,0,11,1,2021,0.88,8.3,8.3
0,0.775,17.0,1,1,0.0,0,7.0,0,3,0,1,11,0,2021,0.81,8.5,8.8
1,11.852,19.0,1,2,0.0,0,2.6,1,4,0,0,3,1,2021,0.96,18.9,19.8
0,8.585,19.0,1,2,0.0,0,6.7,0,3,0,0,11,0,2021,0.66,9.0,8.1
0,5.804,19.0,1,2,0.0,0,4.8,0,3,0,0,11,1,2022,0.7,10.4,10.2
0,1.21,21.0,1,4,0.0,0,6.900994407311418,1,3,0,0,11,1,2022,0.89,14.1,15.7
0,4.196,17.0,1,1,0.0,0,6.4,0,3,0,1,11,1,2019,0.93,9.8,8.2
0,1.555,18.0,2,2,4.196,0,6.4,0,3,0,0,11,1,2020,0.75,10.0,9.8
0,2.05,17.0,1,1,0.0,0,6.85,0,3,0,1,11,0,2022,0.88,9.2,7.0
0,1.115,18.0,2,2,2.05,0,6.85,0,3,0,0,11,0,2023,0.67,4.6,4.3
0,0.0,19.0,1,3,0.0,0,6.900994407311418,1,3,0,0,11,1,2016,0.59,15.6,15.8
0,5.775,20.0,1,4,0.0,0,7.0,0,3,0,0,11,0,2024,1.0,8.9,8.2
0,9.644,21.0,2,5,5.775,0,7.0,0,3,0,0,11,0,2025,1.0,10.2,11.2
0,3.93,17.0,1,1,0.0,0,6.85,0,3,0,1,11,0,2022,0.9,9.3,9.8
0,1.513,21.0,1,4,0.0,0,7.7,0,3,0,0,11,1,2024,0.5,6.5,5.9
0,12.599,21.0,2,3,1.513,0,7.6,0,3,0,0,11,1,2024,0.98,12.3,12.0
1,14.558,22.0,3,5,7.056000000000001,0,7.7,0,5,0,0,1,1,2025,0.99,18.5,20.0
0,1.615,17.0,1,1,0.0,0,4.8,1,3,0,1,11,1,2019,0.82,11.4,11.3
1,13.25,19.0,1,2,0.0,0,6.85,0,3,0,0,0,0,2019,0.94,15.1,13.7
0,14.174,19.0,1,3,0.0,0,7.9,0,3,1,0,11,1,2017,0.85,12.9,11.8
0,0.0,17.0,1,1,0.0,0,6.7,0,3,0,1,11,0,2020,0.76,5.9,5.7
0,0.244,18.0,2,2,0.0,0,6.7,0,3,0,0,11,0,2021,0.73,10.9,12.0
0,2.605,18.0,1,2,0.0,0,6.4,0,3,0,0,11,1,2020,0.68,14.9,14.4
0,15.013,17.0,1,1,0.0,0,7.9,0,3,0,1,11,1,2016,0.8,6.9,5.8
0,14.356,18.0,2,2,15.013,0,7.9,0,3,0,0,11,1,2017,0.74,8.0,8.0
1,15.882,18.0,3,2,14.6845,0,7.9,0,5,0,0,6,1,2017,1.0,20.0,20.0
0,0.495,18.0,1,1,0.0,0,7.0,0,3,0,1,11,1,2021,0.97,5.5,3.8
0,12.451,21.0,1,5,0.0,0,7.9,0,3,1,0,11,1,2019,0.77,9.6,9.9
0,12.457,21.0,2,5,12.451,0,7.9,0,3,0,0,11,1,2019,0.7,6.7,7.0
0,3.83,19.0,1,2,0.0,0,7.0,0,3,0,0,11,0,2022,1.0,7.1,8.2
0,0.0,19.0,1,3,0.0,0,6.900994407311418,1,3,0,0,11,1,2016,0.53,13.3,13.7
0,0.401,21.0,1,4,0.0,0,3.4,0,3,0,0,11,1,2022,0.69,7.4,6.6
0,0.0,19.0,1,3,0.0,0,7.9,0,3,0,0,11,1,2016,0.67,8.6,9.1
0,7.853,17.0,1,1,0.0,0,6.85,0,3,0,1,11,1,2022,1.0,11.4,9.5
0,10.927,18.0,2,2,7.8530000000000015,0,6.85,0,3,0,0,11,1,2023,0.87,6.3,5.8
1,11.324,18.0,3,2,9.39,0,6.85,0,4,0,0,5,1,2023,0.96,17.2,16.8
0,2.69,19.0,1,2,0.0,0,6.7,0,3,0,0,11,1,2021,0.86,12.7,13.3
0,8.067,19.0,2,2,2.6899999999999995,0,6.7,0,3,0,0,11,1,2021,0.78,5.4,8.4
0,9.566,20.0,3,3,5.3785,0,6.7,0,3,0,0,11,1,2022,0.73,9.9,9.6
1,11.436,20.0,4,3,6.774333333333334,0,6.7,0,5,0,0,6,1,2022,0.96,20.0,20.0
0,10.714,17.0,1,1,0.0,0,7.9,0,3,0,1,11,1,2016,0.66,11.4,12.7
0,13.963,18.0,2,2,10.714,0,7.9,0,3,0,0,11,1,2017,0.89,6.3,5.0
0,13.983,18.0,3,2,12.338499999999998,0,7.9,0,3,0,0,11,1,2017,1.0,6.1,7.4
0,5.199,19.0,1,2,0.0,0,6.4,0,3,0,0,11,1,2020,0.75,10.7,10.0
0,7.626,20.0,2,3,5.198999999999999,0,6.4,0,3,0,0,11,1,2021,0.71,10.1,10.2
0,12.387,20.0,1,4,0.0,0,6.900994407311418,0,3,0,0,11,0,2018,0.5,10.0,12.3
0,8.175,17.0,1,1,0.0,0,6.4,0,4,0,1,3,1,2019,0.73,12.1,12.6
0,4.458,18.0,1,2,0.0,0,7.9,0,3,1,0,11,1,2017,0.69,7.7,7.1
0,9.7,19.0,1,2,0.0,0,6.7,0,3,0,0,11,0,2021,0.71,10.0,10.4
1,10.644,19.0,2,2,9.700000000000001,0,6.7,0,5,0,0,4,0,2021,0.99,19.6,18.1
0,1.627,17.0,1,2,0.0,0,6.85,0,3,0,0,11,1,2019,0.78,7.6,8.7
0,0.222,20.0,1,2,0.0,0,6.7,0,3,0,0,11,1,2021,0.74,14.1,13.4
0,5.401,20.0,2,2,0.22200000000000042,0,6.7,0,3,0,0,11,1,2021,0.82,10.6,8.1
0,5.023,21.0,3,3,2.8115000000000006,0,6.7,0,3,0,0,11,1,2022,0.89,6.4,6.1
0,5.832,18.0,1,2,0.0,0,6.4,0,3,0,0,11,1,2020,0.55,11.0,10.5
0,0.406,19.0,2,2,5.832,0,6.7,0,3,0,0,11,1,2021,0.8,7.0,7.5
1,11.354,21.0,3,5,3.1189999999999998,0,6.4,0,5,0,0,4,1,2023,0.92,19.9,18.7
0,4.871,19.0,1,2,0.0,0,7.1,0,3,0,0,11,1,2024,0.67,12.3,12.6
0,6.802,19.0,1,2,0.0,0,2.7,1,3,0,0,11,1,2023,0.62,7.3,6.7
0,3.225,17.0,1,1,0.0,0,7.1,0,3,1,1,11,1,2023,0.83,11.8,11.7
0,5.904,19.0,1,3,0.0,0,6.7,0,3,0,0,11,0,2022,0.72,10.4,11.5
0,6.599,20.0,2,4,5.904,0,6.7,0,3,0,0,11,0,2023,0.85,11.5,12.6
0,9.741,21.0,3,5,6.2515,0,6.7,0,3,0,0,11,0,2024,0.77,14.1,15.4
0,11.047,17.0,1,1,0.0,0,6.85,0,3,0,1,11,1,2022,0.96,7.5,7.8
0,11.858,18.0,2,2,11.047,0,6.85,0,3,0,0,11,1,2023,0.72,7.2,7.5
0,11.94,19.0,3,3,11.4525,0,6.85,0,3,0,0,11,1,2024,0.87,7.4,8.6
1,13.298,20.0,4,4,11.615,0,6.85,0,3,0,0,0,1,2025,0.97,17.5,17.2
0,5.023,19.0,1,2,0.0,0,7.9,0,3,0,0,11,0,2017,0.78,10.3,8.8
1,11.748,19.0,1,2,0.0,0,7.1,0,3,0,0,2,1,2024,0.97,18.3,19.1
0,9.764,17.0,1,1,0.0,0,6.900994407311418,0,3,0,1,11,0,2019,0.73,11.5,12.8
0,3.454,22.0,1,5,0.0,0,6.7,0,3,0,0,11,1,2024,0.88,9.4,9.7
0,6.83,23.0,2,5,3.4540000000000006,0,7.0,0,3,0,0,11,1,2025,0.83,13.0,11.9
0,11.167,21.0,1,5,0.0,0,7.9,0,3,0,0,11,0,2017,0.6,8.7,10.9
1,12.726,22.0,1,5,0.0,0,7.9,0,4,0,0,3,1,2017,0.96,18.3,18.8
0,5.356,18.0,1,2,0.0,0,7.9,0,3,0,0,11,0,2018,0.98,11.2,12.5
0,12.102,20.0,1,3,0.0,0,6.900994407311418,0,3,0,0,11,0,2017,0.61,10.6,10.5
1,14.551,20.0,2,3,12.101999999999999,0,6.900994407311418,0,3,0,0,0,0,2017,0.96,16.1,16.2
0,15.94,20.0,1,3,0.0,0,6.900994407311418,1,3,0,0,11,1,2019,0.82,7.3,7.2
1,16.384,20.0,2,4,15.939999999999998,0,6.900994407311418,1,3,0,0,11,1,2019,0.98,15.9,17.5
0,1.571,18.0,1,1,0.0,0,6.85,0,3,0,1,11,1,2022,0.87,8.3,7.2
0,2.103,19.0,2,2,1.5710000000000002,0,6.85,0,3,0,0,11,1,2023,0.62,11.5,11.3
0,4.11,18.0,1,2,0.0,0,6.85,0,3,1,0,11,0,2019,0.82,9.9,12.1
0,0.978,19.0,2,3,4.11,0,6.85,0,3,0,0,11,0,2020,0.96,6.3,5.7
0,0.553,20.0,3,4,2.544,0,6.85,0,3,0,0,11,0,2021,0.69,9.8,8.3
0,1.808,18.0,1,2,0.0,0,1.5,1,3,0,0,11,0,2016,0.79,10.4,10.4
1,12.657,18.0,1,2,0.0,0,6.900994407311418,1,3,0,0,2,0,2021,0.95,15.1,15.0
0,6.829,19.0,1,3,0.0,0,6.900994407311418,0,3,0,0,11,0,2019,0.61,9.5,9.1
0,2.034,21.0,2,5,6.829,0,6.900994407311418,1,3,1,0,11,0,2021,0.98,6.5,7.0
0,4.047,18.0,1,1,0.0,0,6.900994407311418,0,3,0,1,11,0,2022,0.67,10.3,12.8
1,15.014,18.0,1,2,0.0,0,7.9,0,3,1,0,11,1,2016,0.93,15.9,15.7
0,3.832,17.0,1,1,0.0,0,7.1,0,3,0,1,11,0,2023,0.91,12.1,14.2
0,4.017,18.0,2,2,3.832,0,7.1,0,3,0,0,11,0,2024,1.0,12.0,12.4
0,5.15,18.0,3,2,3.9245,0,7.1,0,3,0,0,11,0,2024,0.73,6.0,5.1
0,6.108,19.0,4,3,4.332999999999999,0,7.1,0,3,0,0,11,0,2025,0.67,7.1,8.7
0,13.479,18.0,1,2,0.0,0,6.900994407311418,0,3,0,0,11,1,2017,1.0,10.7,10.3
0,4.421,17.0,1,1,0.0,0,6.85,0,3,0,1,11,1,2018,0.79,10.7,9.1
0,7.062,18.0,2,2,4.421,0,6.85,0,3,0,0,11,1,2019,0.88,10.7,11.0
0,11.768,18.0,3,2,5.7415,0,6.85,0,3,0,0,11,1,2019,0.73,19.0,18.6
1,13.3,19.0,4,3,7.750333333333334,0,6.85,0,2,0,0,9,1,2020,0.98,13.4,15.3
0,0.366,17.0,1,1,0.0,0,6.900994407311418,1,3,0,1,11,1,2017,0.87,12.2,12.6
0,3.714,17.0,1,1,0.0,0,7.1,0,3,0,1,11,1,2024,0.98,11.8,11.3
0,8.384,18.0,1,2,0.0,0,7.9,0,3,0,0,11,1,2016,0.64,11.0,11.9
0,11.309,19.0,2,3,8.383999999999999,0,7.9,0,3,0,0,11,1,2017,0.9,8.6,8.6
0,10.227,19.0,3,2,9.8465,0,7.9,0,3,0,0,11,1,2017,0.94,11.3,11.6
0,0.0,18.0,1,2,0.0,0,6.900994407311418,0,3,1,0,11,1,2022,0.64,7.5,5.1
0,14.344,18.0,1,2,0.0,0,7.9,0,3,1,0,11,1,2016,0.8,8.8,7.7
1,15.269,19.0,2,3,14.344,0,7.9,0,4,0,0,5,1,2017,0.93,17.6,17.9
0,2.475,19.0,1,3,0.0,0,7.9,0,3,0,0,11,0,2017,0.7,9.6,8.3
0,6.579,18.0,1,1,0.0,0,7.1499999999999995,0,3,0,1,11,0,2024,0.5,15.2,14.6
0,0.769,18.0,1,2,0.0,0,6.85,0,3,0,0,11,0,2019,0.77,4.7,5.7
0,10.85,19.0,1,2,0.0,0,6.85,0,3,0,0,11,1,2019,0.9,11.1,11.6
1,14.089,19.0,2,2,10.85,0,6.85,0,3,0,0,2,1,2019,0.94,16.7,17.9
0,9.077,17.0,1,1,0.0,0,7.9,0,3,0,1,11,1,2017,0.78,8.2,8.2
1,5.408,19.0,1,2,0.0,0,2.6,1,3,0,0,2,1,2021,0.94,14.9,14.2
1,12.46,18.0,1,1,0.0,0,7.0,0,3,0,1,11,1,2021,0.95,15.8,17.2
0,4.078,20.0,1,3,0.0,0,7.0,0,3,0,0,11,1,2023,0.76,6.7,6.8
0,3.694,18.0,1,2,0.0,0,6.85,0,3,1,0,11,1,2023,0.86,7.6,6.5
0,3.6,19.0,2,3,3.6940000000000004,0,6.85,0,3,1,0,11,1,2024,0.81,11.1,12.7
0,3.106,20.0,1,4,0.0,0,6.4,0,3,0,0,11,1,2022,0.88,7.6,7.6
0,10.256,21.0,2,5,3.106,0,6.4,0,3,0,0,11,1,2023,0.79,9.9,10.9
1,11.948,21.0,3,5,6.681000000000001,0,6.4,0,5,0,0,4,1,2023,0.91,20.0,20.0
0,1.493,17.0,1,1,0.0,0,6.85,0,3,0,1,11,1,2022,0.67,7.8,8.7
1,10.548,17.0,1,1,0.0,0,7.1,0,5,1,1,4,1,2023,0.95,17.7,18.4
0,2.097,18.0,1,1,0.0,0,6.85,0,3,0,1,11,0,2022,0.87,11.0,10.7
0,7.93,19.0,1,3,0.0,0,7.0,0,3,0,0,11,1,2023,0.78,4.3,4.0
0,8.823,19.0,2,3,7.93,0,7.0,0,3,0,0,11,1,2023,0.95,9.9,10.6
1,10.749,20.0,3,4,8.3765,0,7.0,0,3,0,0,2,1,2024,0.99,16.4,16.6
0,3.859,18.0,1,3,0.0,0,6.7,0,3,0,0,11,1,2022,0.91,11.5,11.5
0,3.653,18.0,2,2,3.8590000000000004,0,7.0,0,3,0,0,11,1,2022,0.65,7.4,7.0
0,6.574,19.0,3,3,3.7560000000000002,0,7.0,0,3,0,0,11,1,2023,1.0,9.1,8.8
1,8.767,19.0,4,3,4.695333333333334,0,7.0,0,2,0,0,9,1,2023,0.95,13.6,12.1
0,0.87,19.0,1,1,0.0,0,6.85,0,3,0,1,11,1,2018,0.79,11.6,12.1
0,0.433,19.0,2,2,0.8699999999999999,0,7.9,0,3,0,0,11,1,2018,0.63,6.4,5.8
0,0.0,20.0,3,3,0.6515,0,7.9,0,3,0,0,11,1,2019,0.71,8.6,8.7
0,8.972,17.0,1,1,0.0,0,6.85,0,3,1,1,11,1,2018,0.77,8.2,8.1
1,13.353,18.0,2,2,8.972,0,6.85,0,5,0,0,4,1,2019,0.89,19.4,19.6
1,12.197,18.0,1,2,0.0,0,6.7,0,4,0,0,3,1,2021,0.92,18.6,18.6
0,13.146,18.0,1,2,0.0,0,7.9,0,3,0,0,11,1,2016,0.5,6.2,5.4
0,14.877,19.0,2,3,13.146000000000003,0,7.9,0,3,0,0,11,1,2017,0.57,11.7,11.6
1,15.838,19.0,3,3,14.011500000000002,0,7.9,0,5,0,0,4,1,2017,0.93,17.9,17.9
0,0.443,19.0,1,2,0.0,0,7.1499999999999995,0,3,0,0,11,1,2025,0.66,12.0,11.1
0,6.17,18.0,1,1,0.0,0,7.1499999999999995,0,3,0,1,11,0,2024,1.0,5.6,4.6
0,5.939,19.0,2,2,6.17,0,7.1499999999999995,0,3,0,0,11,0,2025,0.95,8.2,7.6
0,2.609,17.0,1,1,0.0,0,7.9,0,3,0,1,11,1,2017,0.68,12.6,12.7
0,4.063,18.0,2,2,2.609,0,7.9,0,3,0,0,11,1,2018,0.7,7.6,6.5
0,0.0,19.0,1,2,0.0,0,7.0,0,3,0,0,11,1,2022,0.94,10.5,11.5
0,3.175,19.0,1,2,0.0,0,7.1,0,3,0,0,11,1,2024,0.83,11.3,10.7
0,6.112,18.0,1,2,0.0,0,7.9,0,3,0,0,11,1,2017,0.76,7.1,7.1
0,5.229,19.0,2,3,6.112000000000001,0,7.9,0,3,0,0,11,1,2018,0.71,9.3,9.9
0,2.955,17.0,1,1,0.0,0,6.85,0,3,0,1,11,1,2022,0.73,1.3,0.0
